,IQR Factor,Batch Size,Learning Rate,Max Iters,Beta 1,Beta 2,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
0,1.0,16,0.1,100000.0,0.9,0.9,5.275,7.385,3.511,5.3686
1,1.0,16,0.1,100000.0,0.9,0.95,5.246,7.463,3.577,6.0252
2,1.0,16,0.1,100000.0,0.95,0.9,5.267,7.722,3.481,6.1599
3,1.0,16,0.1,100000.0,0.95,0.95,5.255,7.665,3.517,6.154
4,1.0,32,0.1,100000.0,0.9,0.9,5.282,7.92,3.436,6.3476
5,1.0,32,0.1,100000.0,0.9,0.95,5.163,7.267,3.45,6.2124
6,1.0,32,0.1,100000.0,0.95,0.9,5.151,7.409,3.473,6.1934
7,1.0,32,0.1,100000.0,0.95,0.95,5.157,7.516,3.522,6.3657
8,1.5,16,0.1,100000.0,0.9,0.9,7.221,10.595,5.138,6.0672
9,1.5,16,0.1,100000.0,0.9,0.95,7.192,10.604,5.143,6.183
10,1.5,16,0.1,100000.0,0.95,0.9,7.205,10.777,5.118,6.3833
11,1.5,16,0.1,100000.0,0.95,0.95,7.192,10.603,4.966,6.2545
12,1.5,32,0.1,100000.0,0.9,0.9,6.872,10.162,5.178,6.2261
13,1.5,32,0.1,100000.0,0.9,0.95,6.865,10.131,5.064,6.4076
14,1.5,32,0.1,100000.0,0.95,0.9,6.858,10.192,5.027,6.4443
15,1.5,32,0.1,100000.0,0.95,0.95,6.86,10.17,5.182,6.4419
