IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.0,1,0.05,10000.0,0.0,13.305,13.918,12.451,0.5437
1.0,1,0.05,10000.0,0.5,13.413,13.072,12.307,0.5671
1.0,1,0.05,10000.0,0.9,13.087,13.165,14.031,0.5973
1.0,1,0.05,40000.0,0.0,12.338,12.506,10.653,2.1916
1.0,1,0.05,40000.0,0.5,12.66,12.241,10.896,2.1824
1.0,1,0.05,40000.0,0.9,12.287,12.102,10.649,2.1713
1.0,1,0.05,100000.0,0.0,11.518,11.679,10.035,5.4748
1.0,1,0.05,100000.0,0.5,11.776,11.541,9.601,5.4684
1.0,1,0.05,100000.0,0.9,15.486,16.856,9.974,5.7637
1.0,1,0.1,10000.0,0.0,12.651,12.852,11.217,0.6486
1.0,1,0.1,10000.0,0.5,12.642,12.788,12.216,0.5558
1.0,1,0.1,10000.0,0.9,13.614,12.891,13.667,0.8026
1.0,1,0.1,40000.0,0.0,13.539,14.43,13.351,3.1953
1.0,1,0.1,40000.0,0.5,12.668,12.164,11.522,2.4074
1.0,1,0.1,40000.0,0.9,12.392,11.844,10.686,2.6728
1.0,1,0.1,100000.0,0.0,11.336,10.948,11.431,6.2516
1.0,1,0.1,100000.0,0.5,10.844,10.661,9.387,6.116
1.0,1,0.1,100000.0,0.9,10.986,10.656,9.004,5.7889
1.0,1,0.5,10000.0,0.0,11.697,11.694,10.024,0.5732
1.0,1,0.5,10000.0,0.5,11.873,11.8,11.68,0.5698
1.0,1,0.5,10000.0,0.9,11.81,11.779,10.149,0.6107
1.0,1,0.5,40000.0,0.0,9.311,9.988,8.212,2.1914
1.0,1,0.5,40000.0,0.5,12.311,11.433,15.584,2.2673
1.0,1,0.5,40000.0,0.9,27.416,24.85,8.851,2.2034
1.0,1,0.5,100000.0,0.0,8.068,9.636,11.437,5.7931
1.0,1,0.5,100000.0,0.5,8.124,8.797,8.455,5.4702
1.0,1,0.5,100000.0,0.9,7.607,8.769,9.384,5.8141
1.0,1,0.7,10000.0,0.0,25.494,23.127,9.329,0.5982
1.0,1,0.7,10000.0,0.5,76.673,82.248,9.461,0.6268
1.0,1,0.7,10000.0,0.9,12.09,12.226,11.837,0.6014
1.0,1,0.7,40000.0,0.0,8.742,9.207,15.742,2.383
1.0,1,0.7,40000.0,0.5,8.621,9.313,10.819,2.0889
1.0,1,0.7,40000.0,0.9,19.026,22.16,18.756,2.0463
1.0,1,0.7,100000.0,0.0,12.619,12.071,6.321,5.0237
1.0,1,0.7,100000.0,0.5,7.305,8.978,5.463,5.0133
1.0,1,0.7,100000.0,0.9,18.715,23.092,20.776,4.9896
1.0,8,0.05,10000.0,0.0,13.087,13.124,11.939,0.5137
1.0,8,0.05,10000.0,0.5,13.109,13.084,11.985,0.5066
1.0,8,0.05,10000.0,0.9,13.101,13.249,12.045,0.5259
1.0,8,0.05,40000.0,0.0,12.276,12.166,10.647,2.0588
1.0,8,0.05,40000.0,0.5,12.284,12.116,10.636,2.0273
1.0,8,0.05,40000.0,0.9,12.238,12.165,10.502,2.2231
1.0,8,0.05,100000.0,0.0,11.611,11.899,9.745,5.6274
1.0,8,0.05,100000.0,0.5,11.583,11.464,9.709,5.5629
1.0,8,0.05,100000.0,0.9,11.506,11.52,9.76,5.5543
1.0,8,0.1,10000.0,0.0,12.656,12.621,11.23,0.5601
1.0,8,0.1,10000.0,0.5,12.622,12.784,11.274,0.5501
1.0,8,0.1,10000.0,0.9,12.604,12.592,11.079,0.5626
1.0,8,0.1,40000.0,0.0,11.736,11.667,9.954,2.1964
1.0,8,0.1,40000.0,0.5,11.726,11.799,10.323,2.1801
1.0,8,0.1,40000.0,0.9,11.73,11.733,10.307,2.2156
1.0,8,0.1,100000.0,0.0,10.631,10.622,8.882,5.5356
1.0,8,0.1,100000.0,0.5,10.551,10.823,8.797,5.5468
1.0,8,0.1,100000.0,0.9,10.561,10.706,8.957,5.512
1.0,8,0.5,10000.0,0.0,11.578,11.634,10.355,0.5522
1.0,8,0.5,10000.0,0.5,12.003,12.568,10.36,0.5496
1.0,8,0.5,10000.0,0.9,12.935,12.336,10.757,0.5987
1.0,8,0.5,40000.0,0.0,9.593,10.575,7.71,2.1953
1.0,8,0.5,40000.0,0.5,9.279,9.768,7.591,2.197
1.0,8,0.5,40000.0,0.9,9.352,10.082,8.213,2.1992
1.0,8,0.5,100000.0,0.0,8.05,8.702,5.891,5.7753
1.0,8,0.5,100000.0,0.5,7.89,9.542,6.974,5.4868
1.0,8,0.5,100000.0,0.9,8.236,10.09,5.9,5.644
1.0,8,0.7,10000.0,0.0,15.332,16.944,9.898,0.566
1.0,8,0.7,10000.0,0.5,13.671,12.731,9.373,0.6387
1.0,8,0.7,10000.0,0.9,12.428,13.275,9.577,0.5573
1.0,8,0.7,40000.0,0.0,9.351,10.723,7.234,2.1871
1.0,8,0.7,40000.0,0.5,10.089,9.842,6.862,2.1983
1.0,8,0.7,40000.0,0.9,8.737,9.789,8.366,2.1892
1.0,8,0.7,100000.0,0.0,7.972,10.174,5.542,5.5518
1.0,8,0.7,100000.0,0.5,7.418,9.271,5.59,5.5962
1.0,8,0.7,100000.0,0.9,7.382,9.138,5.388,5.5519
1.0,16,0.05,10000.0,0.0,13.167,13.024,11.982,0.578
1.0,16,0.05,10000.0,0.5,13.113,13.381,11.988,0.5673
