IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.0,1,0.05,10000.0,0.0,12.75,10.375,16.564,0.85
1.0,1,0.05,10000.0,0.5,12.515,16.691,10.026,0.8
1.0,1,0.05,10000.0,0.9,13.027,13.229,19.089,1.08
1.0,1,0.05,100000.0,0.0,11.776,10.26,12.203,9.01
1.0,1,0.05,100000.0,0.5,11.075,13.796,11.942,7.99
1.0,1,0.05,100000.0,0.9,12.471,10.081,11.986,7.99
1.0,1,0.1,10000.0,0.0,11.461,13.003,15.165,0.8
1.0,1,0.1,10000.0,0.5,13.127,15.493,12.259,0.8
1.0,1,0.1,10000.0,0.9,11.816,13.513,12.347,0.82
1.0,1,0.1,100000.0,0.0,9.972,15.99,6.586,7.99
1.0,1,0.1,100000.0,0.5,9.61,10.216,12.309,8.26
1.0,1,0.1,100000.0,0.9,11.71,12.362,11.208,7.9
1.0,1,0.5,10000.0,0.0,12.188,9.868,11.473,0.79
1.0,1,0.5,10000.0,0.5,17.752,19.692,14.652,0.8
1.0,1,0.5,10000.0,0.9,13.551,13.039,13.7,0.86
1.0,1,0.5,100000.0,0.0,6.655,7.858,11.107,9.45
1.0,1,0.5,100000.0,0.5,6.785,9.989,8.714,8.53
1.0,1,0.5,100000.0,0.9,11.027,14.428,40.215,7.81
1.0,8,0.05,10000.0,0.0,12.47,15.062,10.068,0.79
1.0,8,0.05,10000.0,0.5,12.665,11.75,15.774,0.79
1.0,8,0.05,10000.0,0.9,13.526,12.185,11.972,0.78
1.0,8,0.05,100000.0,0.0,10.66,12.485,11.75,7.88
1.0,8,0.05,100000.0,0.5,11.429,13.24,7.82,8.07
1.0,8,0.05,100000.0,0.9,10.936,13.564,9.105,7.83
1.0,8,0.1,10000.0,0.0,13.158,12.191,10.852,0.78
1.0,8,0.1,10000.0,0.5,11.638,14.156,14.569,0.81
1.0,8,0.1,10000.0,0.9,11.765,16.245,12.466,0.78
1.0,8,0.1,100000.0,0.0,10.819,8.435,11.441,7.79
1.0,8,0.1,100000.0,0.5,8.669,10.555,16.357,7.76
1.0,8,0.1,100000.0,0.9,10.254,11.886,9.905,7.74
1.0,8,0.5,10000.0,0.0,9.966,14.481,12.509,1.3
1.0,8,0.5,10000.0,0.5,11.12,11.234,12.507,0.8
1.0,8,0.5,10000.0,0.9,12.402,8.855,13.796,0.85
1.0,8,0.5,100000.0,0.0,6.857,10.054,7.828,7.97
1.0,8,0.5,100000.0,0.5,6.916,11.276,10.12,8.86
1.0,8,0.5,100000.0,0.9,7.235,9.883,8.217,8.01
1.0,32,0.05,10000.0,0.0,14.281,10.318,11.214,0.83
1.0,32,0.05,10000.0,0.5,12.819,11.041,14.311,0.83
1.0,32,0.05,10000.0,0.9,12.619,10.986,15.289,0.83
1.0,32,0.05,100000.0,0.0,12.128,9.203,10.884,8.46
1.0,32,0.05,100000.0,0.5,10.817,14.421,7.601,8.34
1.0,32,0.05,100000.0,0.9,10.479,12.813,10.879,8.36
1.0,32,0.1,10000.0,0.0,12.699,11.025,12.847,0.85
1.0,32,0.1,10000.0,0.5,10.508,17.717,10.502,0.84
1.0,32,0.1,10000.0,0.9,13.076,10.862,12.161,0.84
1.0,32,0.1,100000.0,0.0,9.255,9.9,16.417,8.55
1.0,32,0.1,100000.0,0.5,10.555,10.236,10.388,8.5
1.0,32,0.1,100000.0,0.9,9.556,11.943,11.525,8.99
1.0,32,0.5,10000.0,0.0,11.934,8.941,12.302,0.84
1.0,32,0.5,10000.0,0.5,11.697,10.456,12.069,0.84
1.0,32,0.5,10000.0,0.9,12.12,11.356,10.222,0.85
1.0,32,0.5,100000.0,0.0,7.433,9.596,7.708,8.46
1.0,32,0.5,100000.0,0.5,7.676,7.497,9.458,8.36
1.0,32,0.5,100000.0,0.9,8.06,6.474,8.592,8.31
1.0,64,0.05,10000.0,0.0,12.379,15.266,12.367,0.86
1.0,64,0.05,10000.0,0.5,12.171,12.121,15.397,0.86
1.0,64,0.05,10000.0,0.9,12.772,13.347,12.897,0.85
1.0,64,0.05,100000.0,0.0,10.737,12.8,11.369,8.37
1.0,64,0.05,100000.0,0.5,9.809,11.935,16.007,8.25
1.0,64,0.05,100000.0,0.9,11.367,9.536,13.336,8.35
1.0,64,0.1,10000.0,0.0,11.343,15.352,12.298,0.83
1.0,64,0.1,10000.0,0.5,11.221,15.501,11.31,0.83
1.0,64,0.1,10000.0,0.9,10.29,17.558,11.779,0.83
1.0,64,0.1,100000.0,0.0,9.596,14.454,7.67,8.37
1.0,64,0.1,100000.0,0.5,8.607,16.254,8.815,9.5
1.0,64,0.1,100000.0,0.9,10.521,9.424,11.42,9.23
1.0,64,0.5,10000.0,0.0,12.553,11.768,6.524,0.97
1.0,64,0.5,10000.0,0.5,9.479,15.39,11.625,0.85
