IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
1.0,1,0.05,10000.0,0.0,0.569,0.594,0.667,0.8381
1.0,1,0.05,10000.0,0.5,0.634,0.616,0.75,0.8281
1.0,1,0.05,10000.0,0.9,0.665,0.627,0.667,0.8386
1.0,1,0.05,40000.0,0.0,0.75,0.744,0.583,3.6078
1.0,1,0.05,40000.0,0.5,0.654,0.585,0.833,3.1321
1.0,1,0.05,40000.0,0.9,0.746,0.7,0.542,3.1001
1.0,1,0.05,100000.0,0.0,0.686,0.637,0.833,7.73
1.0,1,0.05,100000.0,0.5,0.67,0.702,0.833,7.7525
1.0,1,0.05,100000.0,0.9,0.74,0.808,0.667,7.7452
1.0,1,0.1,10000.0,0.0,0.644,0.594,0.625,0.8312
1.0,1,0.1,10000.0,0.5,0.622,0.681,0.583,0.7727
1.0,1,0.1,10000.0,0.9,0.654,0.584,0.583,0.7798
1.0,1,0.1,40000.0,0.0,0.729,0.691,0.75,3.1113
1.0,1,0.1,40000.0,0.5,0.547,0.564,0.667,3.1049
1.0,1,0.1,40000.0,0.9,0.644,0.543,0.625,3.0889
1.0,1,0.1,100000.0,0.0,0.766,0.692,0.625,7.7771
1.0,1,0.1,100000.0,0.5,0.803,0.799,0.875,7.9076
1.0,1,0.1,100000.0,0.9,0.654,0.68,0.667,7.7206
1.0,1,0.5,10000.0,0.0,0.687,0.67,0.667,0.7716
1.0,1,0.5,10000.0,0.5,0.52,0.439,0.583,0.7838
1.0,1,0.5,10000.0,0.9,0.521,0.595,0.458,0.8026
1.0,1,0.5,40000.0,0.0,0.644,0.691,0.5,3.1079
1.0,1,0.5,40000.0,0.5,0.766,0.765,0.708,3.1072
1.0,1,0.5,40000.0,0.9,0.681,0.68,0.875,3.172
1.0,1,0.5,100000.0,0.0,0.771,0.8,0.75,7.7774
1.0,1,0.5,100000.0,0.5,0.638,0.681,0.792,7.902
1.0,1,0.5,100000.0,0.9,0.798,0.733,0.417,7.8029
1.0,1,0.7,10000.0,0.0,0.595,0.693,0.542,0.7746
1.0,1,0.7,10000.0,0.5,0.627,0.671,0.583,0.7909
1.0,1,0.7,10000.0,0.9,0.713,0.691,0.583,0.7832
1.0,1,0.7,40000.0,0.0,0.696,0.619,0.667,3.1307
1.0,1,0.7,40000.0,0.5,0.766,0.723,0.875,3.0885
1.0,1,0.7,40000.0,0.9,0.616,0.66,0.625,3.0843
1.0,1,0.7,100000.0,0.0,0.675,0.66,0.917,7.9032
1.0,1,0.7,100000.0,0.5,0.702,0.723,0.833,7.7437
1.0,1,0.7,100000.0,0.9,0.756,0.723,0.833,7.7801
1.0,8,0.05,10000.0,0.0,0.563,0.563,0.583,0.864
1.0,8,0.05,10000.0,0.5,0.739,0.702,0.583,0.8132
1.0,8,0.05,10000.0,0.9,0.659,0.745,0.917,0.8149
1.0,8,0.05,40000.0,0.0,0.66,0.585,0.875,3.2721
1.0,8,0.05,40000.0,0.5,0.776,0.809,0.792,3.2461
1.0,8,0.05,40000.0,0.9,0.814,0.743,0.875,3.278
1.0,8,0.05,100000.0,0.0,0.888,0.808,0.958,8.1765
1.0,8,0.05,100000.0,0.5,0.931,0.915,0.958,8.1602
1.0,8,0.05,100000.0,0.9,0.84,0.798,0.833,8.1341
1.0,8,0.1,10000.0,0.0,0.771,0.777,0.458,0.8156
1.0,8,0.1,10000.0,0.5,0.718,0.712,0.5,0.8167
1.0,8,0.1,10000.0,0.9,0.717,0.662,0.875,0.8267
1.0,8,0.1,40000.0,0.0,0.74,0.808,0.792,3.2472
1.0,8,0.1,40000.0,0.5,0.872,0.841,0.625,3.3795
1.0,8,0.1,40000.0,0.9,0.835,0.755,0.917,3.2725
1.0,8,0.1,100000.0,0.0,0.904,0.883,0.917,8.1285
1.0,8,0.1,100000.0,0.5,0.947,0.894,0.708,8.147
1.0,8,0.1,100000.0,0.9,0.915,0.883,0.75,8.1304
1.0,8,0.5,10000.0,0.0,0.639,0.616,0.667,0.8185
1.0,8,0.5,10000.0,0.5,0.601,0.584,0.583,0.8755
1.0,8,0.5,10000.0,0.9,0.56,0.594,0.667,0.8513
1.0,8,0.5,40000.0,0.0,0.638,0.735,0.417,3.3045
1.0,8,0.5,40000.0,0.5,0.899,0.873,0.958,3.2629
1.0,8,0.5,40000.0,0.9,0.851,0.829,0.708,3.2798
1.0,8,0.5,100000.0,0.0,0.867,0.852,0.875,8.1816
1.0,8,0.5,100000.0,0.5,0.974,0.948,0.917,8.1807
1.0,8,0.5,100000.0,0.9,0.952,0.883,0.75,8.3614
1.0,8,0.7,10000.0,0.0,0.745,0.668,0.625,0.8269
1.0,8,0.7,10000.0,0.5,0.835,0.765,0.583,0.9564
1.0,8,0.7,10000.0,0.9,0.686,0.584,0.667,0.9308
1.0,8,0.7,40000.0,0.0,0.803,0.712,0.917,3.4732
1.0,8,0.7,40000.0,0.5,0.824,0.819,0.958,3.5343
1.0,8,0.7,40000.0,0.9,0.931,0.894,0.875,3.287
1.0,8,0.7,100000.0,0.0,0.835,0.808,0.958,8.1472
1.0,8,0.7,100000.0,0.5,0.926,0.883,0.833,8.197
1.0,8,0.7,100000.0,0.9,0.899,0.894,0.917,8.1773
1.0,16,0.05,10000.0,0.0,0.75,0.722,0.667,0.8482
1.0,16,0.05,10000.0,0.5,0.799,0.797,0.667,0.9105
1.0,16,0.05,10000.0,0.9,0.745,0.776,1.0,0.8518
1.0,16,0.05,40000.0,0.0,0.788,0.744,0.958,3.3938
1.0,16,0.05,40000.0,0.5,0.867,0.862,0.958,3.3935
1.0,16,0.05,40000.0,0.9,0.872,0.82,0.917,3.4717
1.0,16,0.05,100000.0,0.0,0.947,0.883,0.917,8.4741
1.0,16,0.05,100000.0,0.5,0.952,0.894,0.958,8.483
1.0,16,0.05,100000.0,0.9,0.926,0.872,0.583,8.4442
1.0,16,0.1,10000.0,0.0,0.739,0.67,0.375,0.8449
1.0,16,0.1,10000.0,0.5,0.809,0.819,0.833,0.8944
1.0,16,0.1,10000.0,0.9,0.718,0.669,0.917,0.849
1.0,16,0.1,40000.0,0.0,0.809,0.755,0.667,3.3626
1.0,16,0.1,40000.0,0.5,0.91,0.905,0.708,3.4031
1.0,16,0.1,40000.0,0.9,0.878,0.819,0.917,3.3706
1.0,16,0.1,100000.0,0.0,0.926,0.872,0.875,8.5008
1.0,16,0.1,100000.0,0.5,0.958,0.883,0.917,10.5902
1.0,16,0.1,100000.0,0.9,0.947,0.872,0.958,8.4849
1.0,16,0.5,10000.0,0.0,0.713,0.723,0.583,0.8463
1.0,16,0.5,10000.0,0.5,0.654,0.681,0.5,0.8408
1.0,16,0.5,10000.0,0.9,0.82,0.808,0.875,0.895
1.0,16,0.5,40000.0,0.0,0.792,0.83,1.0,3.3861
1.0,16,0.5,40000.0,0.5,0.782,0.798,0.875,3.6181
